Author	Source URL	Content	Original author	Place	Is retweet	Time	Language	Retweet count	Favorite count	Longitude	Latitude	Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6	Topic 7	Topic 8	Topic 9	Topic 10
HillaryClinton realDonaldTrump	string	string	string	string	False True	time	da en es et fi fr tl und	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
class	meta	meta include=True title=True	meta	meta																	
HillaryClinton	https://studio.twitter.com	The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG			False	2016-09-28 00:22:34	en	218.0	651.0			0.13385345041751862	-0.06462274491786957	0.3157194256782532	-0.33668646216392517	-0.1185610443353653	0.05864901840686798	-0.06563419103622437	-0.27102503180503845	-0.053772181272506714	-0.12490077316761017
HillaryClinton	http://twitter.com	"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF"	timkaine		True	2016-09-27 23:45:00	en	2445.0	5308.0			1.2225010395050049	0.5488700270652771	-0.2399815022945404	0.07898292690515518	-0.09701352566480637	-0.14905928075313568	-0.012892047874629498	0.13734741508960724	-0.021484235301613808	0.04898089915513992
HillaryClinton	https://about.twitter.com/products/tweetdeck	Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.	POTUS		True	2016-09-27 23:26:40	en	7834.0	27234.0			0.11409661173820496	-0.06625822931528091	0.08184430003166199	0.01742020808160305	0.11708635836839676	0.06091522425413132	-0.04870676249265671	0.09613652527332306	-0.15966737270355225	0.15891733765602112
HillaryClinton	https://studio.twitter.com	If we stand together, there's nothing we can't do.   Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy			False	2016-09-27 23:08:41	en	916.0	2542.0			0.1680365800857544	-0.0844695195555687	0.4016844630241394	-0.36698421835899353	-0.020856495946645737	0.10053502023220062	-0.08368148654699326	-0.36020100116729736	-0.17096923291683197	-0.15323638916015625
HillaryClinton	https://about.twitter.com/products/tweetdeck	Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis			False	2016-09-27 22:30:27	en	859.0	2882.0			0.07070673257112503	-0.04263225197792053	0.02127142809331417	-0.01822379045188427	0.11223939806222916	0.04860842972993851	-0.09587068110704422	-0.06774785369634628	-0.19592489302158356	0.7207995057106018
realDonaldTrump	http://twitter.com/download/iphone	Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc			False	2016-09-27 22:13:24	en	2181.0	6172.0			0.1542757749557495	-0.05275791883468628	0.44099730253219604	-0.2732356786727905	-0.266117662191391	0.029741039499640465	-0.014988798648118973	-0.5838291645050049	-0.0445617213845253	-0.07401572912931442
HillaryClinton	https://about.twitter.com/products/tweetdeck	This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H			False	2016-09-27 21:35:28	en	1303.0	2849.0			0.15147295594215393	-0.08426059782505035	0.34229686856269836	-0.33816319704055786	-0.08768698573112488	0.09274576604366302	-0.10847777128219604	-0.31521788239479065	-0.12506122887134552	-0.08584863692522049
HillaryClinton	https://about.twitter.com/products/tweetdeck	When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS			False	2016-09-27 21:25:31	en	1833.0	4954.0			1.146089792251587	0.5929722189903259	-0.2211545705795288	0.036541763693094254	-0.0980948954820633	-0.13102008402347565	0.030727459117770195	-0.004044701345264912	0.009259527549147606	-0.16334885358810425
realDonaldTrump	http://twitter.com/download/iphone	Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe			False	2016-09-27 21:08:22	en	4132.0	11239.0			0.1495470106601715	-0.1030769869685173	0.1864815205335617	0.047616466879844666	0.7463987469673157	-0.4712180197238922	-0.1453300565481186	-0.22917693853378296	0.22817814350128174	-0.07569365948438644
HillaryClinton	http://twitter.com	3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq	mcuban		True	2016-09-27 21:00:13	en	1087.0	2824.0			0.7767810225486755	0.42647817730903625	-0.17778514325618744	0.054180484265089035	-0.03861789405345917	0.011675281450152397	0.10208950936794281	0.05570252984762192	-0.04657059535384178	0.02515510842204094
HillaryClinton	http://twitter.com	The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM	ddlovato		True	2016-09-27 20:37:47	en	3347.0	7698.0			0.06296657025814056	-0.02566458471119404	0.07123182713985443	-0.023867055773735046	0.1208159551024437	0.033839840441942215	-0.001013291534036398	-0.04966561123728752	-0.17344455420970917	-0.08656293898820877
realDonaldTrump	http://twitter.com/download/iphone	On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON	GOP		True	2016-09-27 20:31:14	en	2953.0	6963.0			0.16953997313976288	-0.0653931275010109	0.5223023891448975	-0.05809265747666359	-0.06570857763290405	0.1144956424832344	-0.03839630261063576	-0.365506112575531	-0.10732844471931458	-0.34814921021461487
realDonaldTrump	http://twitter.com/download/iphone	Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure:  https://t.co/zhkEfUouHH			False	2016-09-27 20:14:33	en	3833.0	9840.0			0.5988335013389587	-1.110687255859375	0.05547812953591347	-0.2555219233036041	-0.31044214963912964	0.008603627793490887	0.06844262778759003	-0.06642202287912369	0.04045399650931358	-0.2485649287700653
realDonaldTrump	http://twitter.com/download/iphone	CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA https://t.co/PGimqYKPoJ			False	2016-09-27 20:06:25	en	4236.0	10948.0			1.2086578607559204	0.5485356450080872	-0.23989664018154144	0.036571990698575974	-0.09041417390108109	-0.1235409751534462	-0.03164384886622429	0.004074609838426113	0.05239167809486389	-0.0052305604331195354
HillaryClinton	https://about.twitter.com/products/tweetdeck	Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S			False	2016-09-27 19:59:28	en	5379.0	8917.0			1.280670166015625	0.5154764652252197	-0.16044434905052185	0.03975936770439148	0.5951113104820251	-0.661605954170227	-0.14521902799606323	-0.16937680542469025	0.4327423870563507	-0.15430963039398193
realDonaldTrump	http://twitter.com/download/iphone	Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF			False	2016-09-27 19:59:04	en	4878.0	14110.0			0.20278805494308472	-0.05384373292326927	1.053519368171692	0.3388429284095764	-0.12060606479644775	-0.14306221902370453	0.022161880508065224	0.6709045767784119	0.11784450709819794	0.2856484055519104
realDonaldTrump	http://twitter.com/download/iphone	In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA			False	2016-09-27 19:37:22	en	6939.0	23330.0			0.28194519877433777	-0.10069084167480469	0.9424534440040588	0.23140187561511993	-0.2911996841430664	-0.014108406379818916	-0.07032943516969681	-0.42274269461631775	-0.060024261474609375	0.20496651530265808
HillaryClinton	https://about.twitter.com/products/tweetdeck	“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw			False	2016-09-27 19:31:01	en	2058.0	3714.0			0.9521043300628662	0.35751646757125854	-0.19829882681369781	0.04721734672784805	0.16409339010715485	0.35777920484542847	-0.6962863802909851	0.14951060712337494	0.07701292634010315	-0.12427414208650589
HillaryClinton	https://about.twitter.com/products/tweetdeck	It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG			False	2016-09-27 18:45:39	en	1792.0	3500.0			0.04795975610613823	-0.012728964909911156	0.06498190760612488	-0.01963520236313343	0.10570550709962845	0.0352129228413105	0.007409005891531706	-0.026343408972024918	-0.13682183623313904	-0.09773789346218109
HillaryClinton	https://about.twitter.com/products/tweetdeck	"""I love this country. I’m proud of this country. I want to be a leader who brings people together."" —Hillary #LoveTrumpsHate"			False	2016-09-27 18:12:06	en	1437.0	5053.0			0.6207579970359802	-1.019097924232483	0.05572487786412239	-0.046827446669340134	0.8735181093215942	-0.5841411352157593	-0.03886903077363968	-0.2999194860458374	0.33959659934043884	0.1478213667869568
HillaryClinton	https://about.twitter.com/products/tweetdeck	We don’t want to turn against each other. We want to work with one another. We want to set big goals in this country. #StrongerTogether			False	2016-09-27 18:10:07	en	976.0	3313.0			0.24475783109664917	-0.20424142479896545	0.17099721729755402	-0.07195880264043808	0.470279335975647	0.04000621661543846	-0.23281314969062805	-0.0672912746667862	-0.3285791575908661	0.9149969816207886
HillaryClinton	https://about.twitter.com/products/tweetdeck	"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary"			False	2016-09-27 18:06:28	en	957.0	2968.0			0.35491007566452026	-0.814544677734375	-0.190329447388649	0.03823673352599144	-0.1292831003665924	-0.04872990772128105	0.1488899290561676	0.012646844610571861	0.031186722218990326	-0.00638581020757556
HillaryClinton	https://studio.twitter.com	One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM			False	2016-09-27 18:05:27	en	3336.0	9961.0			0.19952693581581116	-0.10930681228637695	0.1027769073843956	-0.0017745178192853928	0.2472272366285324	0.06899361312389374	-0.12305144220590591	0.1179015040397644	-0.42007243633270264	0.9567673802375793
HillaryClinton	https://about.twitter.com/products/tweetdeck	"""What kind of a person would want to root for 9 million families losing their homes?  One who should never be president."" —Hillary on Trump"			False	2016-09-27 18:02:54	en	1127.0	3216.0			1.4923831224441528	-0.5779218673706055	-0.359226793050766	0.06887635588645935	0.18009737133979797	0.48416298627853394	-0.8056147694587708	0.11431942880153656	-0.1974005252122879	0.7816503643989563
HillaryClinton	https://about.twitter.com/products/tweetdeck	"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n"			False	2016-09-27 17:58:15	en	586.0	1681.0			0.3728012144565582	-0.8147679567337036	-0.19144770503044128	0.04040810838341713	-0.12116371095180511	-0.03897593542933464	0.1569506675004959	0.0022414042614400387	0.01919451914727688	-0.004520721267908812
HillaryClinton	https://about.twitter.com/products/tweetdeck	"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF"			False	2016-09-27 17:55:26	en	1580.0	2967.0			1.5102945566177368	-0.25231295824050903	-0.45081791281700134	0.08959963172674179	-0.2671842873096466	-0.19031675159931183	0.11815303564071655	0.04603509232401848	0.14006303250789642	-0.07525467127561569
HillaryClinton	https://about.twitter.com/products/tweetdeck	When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq			False	2016-09-27 17:52:47	en	557.0	1633.0			0.01397466566413641	-0.019179370254278183	0.016130559146404266	-0.013380445539951324	0.02185000292956829	0.004973037634044886	-0.01426010113209486	-0.029552772641181946	-0.02450505457818508	0.03937220573425293
realDonaldTrump	http://twitter.com/download/android	Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!			False	2016-09-27 17:47:36	en	8534.0	28578.0			0.10003591328859329	-0.04047109931707382	0.12621933221817017	0.008982120081782341	0.13743183016777039	0.008049966767430305	0.0014427544083446264	0.21308106184005737	-0.29449015855789185	0.10432182997465134
HillaryClinton	https://about.twitter.com/products/tweetdeck	"""We may have a record-setting turnout in this election.  We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm"			False	2016-09-27 17:44:07	en	556.0	1546.0			0.037817809730768204	-0.02163447067141533	0.01234025601297617	-0.005094924475997686	0.04784175008535385	-0.002819632412865758	-0.009736815467476845	-0.036324165761470795	-0.03205052390694618	0.03543608635663986
HillaryClinton	https://about.twitter.com/products/tweetdeck	"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay"			False	2016-09-27 17:40:05	en	661.0	1326.0			0.4820910692214966	-0.8784735202789307	0.12825720012187958	-0.2952694296836853	-0.2528083622455597	0.03748651221394539	0.08074488490819931	-0.24087880551815033	-0.020105816423892975	-0.15954798460006714
HillaryClinton	https://about.twitter.com/products/tweetdeck	Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay			False	2016-09-27 17:35:08	en	1115.0	3941.0			0.48146358132362366	-0.9165927171707153	-0.08077453821897507	0.10548683255910873	-0.04166572913527489	0.0007038511103019118	0.09355790913105011	0.044386088848114014	-0.18342262506484985	0.14912103116512299
HillaryClinton	http://twitter.com	So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7	shondarhimes		True	2016-09-27 17:20:13	en	1328.0	2435.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HillaryClinton	https://studio.twitter.com	“Donald just criticized me for preparing for this debate. And you know what else I prepared for?  I prepared to be… https://t.co/QjB01msPaT			False	2016-09-27 17:07:22	en	6185.0	16805.0			0.38954946398735046	0.16206340491771698	-0.10402093082666397	0.008045081980526447	-0.08126448839902878	-0.1360144168138504	-0.09594868123531342	-0.048314277082681656	0.16261878609657288	-0.05580351874232292
realDonaldTrump	http://twitter.com/download/iphone	Thank you for your endorsement, @GovernorSununu. #MAGA  https://t.co/8BEeQPsuyd			False	2016-09-27 16:58:58	en	4191.0	13152.0			0.06049787625670433	-0.01889493316411972	0.4486694633960724	0.6194190979003906	-0.13300460577011108	-0.043819133192300797	-0.03710301220417023	0.030319835990667343	0.0707831084728241	0.16750448942184448
